destinationA	destinationB	distance
Tuscany, Italy	Amsterdam, Netherlands	1375088
Tuscany, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1405501
Tuscany, Italy	Glasgow, United Kingdom	2275373
Tuscany, Italy	Edinburgh, United Kingdom	2231142
Tuscany, Italy	Inverness, United Kingdom	2529073
Tuscany, Italy	Stonehenge, Amesbury, United Kingdom	1727499
Tuscany, Italy	London, United Kingdom	1604043
Tuscany, Italy	Brussels, Belgium	1213933
Tuscany, Italy	Paris, France	1151819
Tuscany, Italy	Pamplona, Spain	1378955
Tuscany, Italy	Lagos, Portugal	2348267
Tuscany, Italy	Granada, Spain	1964792
Tuscany, Italy	Barcelona, Spain	1090615
Tuscany, Italy	Luberone, Bonnieux, France	653065
Tuscany, Italy	Nice, France	424700
Tuscany, Italy	Monte Carlo, Monaco	410739
Tuscany, Italy	Interlaken, Switzerland	564600
Florence, Italy	Innsbruck, Austria	488614
Florence, Italy	Munich, Germany	647457
Florence, Italy	Pag, Croatia	616924
Florence, Italy	Venice, Italy	255143
Florence, Italy	Tuscany, Italy	1088
Florence, Italy	Rome, Italy	273166
Florence, Italy	Vatican City	279044
Florence, Italy	Pompeii, Italy	490195
Florence, Italy	Gozo, Malta	1330741
Florence, Italy	Dubrovnik, Croatia	1068276
Florence, Italy	Santorini, Thira, Greece	2419202
Florence, Italy	Vienna, Austria	846055
Florence, Italy	Prague, Czech Republic	1032631
Florence, Italy	Krakow, Poland	1295664
Florence, Italy	Berlin, Germany	1231595
Florence, Italy	Amsterdam, Netherlands	1374385
Florence, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1404798
Florence, Italy	Glasgow, United Kingdom	2274670
Florence, Italy	Edinburgh, United Kingdom	2230439
Florence, Italy	Inverness, United Kingdom	2528370
Florence, Italy	Stonehenge, Amesbury, United Kingdom	1726796
Florence, Italy	London, United Kingdom	1603340
Florence, Italy	Brussels, Belgium	1213230
Florence, Italy	Paris, France	1151116
Florence, Italy	Pamplona, Spain	1378252
Florence, Italy	Lagos, Portugal	2347564
Florence, Italy	Granada, Spain	1964089
Florence, Italy	Barcelona, Spain	1089912
Florence, Italy	Luberone, Bonnieux, France	652362
Florence, Italy	Nice, France	423997
Florence, Italy	Monte Carlo, Monaco	410036
Florence, Italy	Interlaken, Switzerland	563897
Rome, Italy	Innsbruck, Austria	758985
Rome, Italy	Munich, Germany	917828
Rome, Italy	Pag, Croatia	887295
Rome, Italy	Venice, Italy	525514
Rome, Italy	Tuscany, Italy	278081
Rome, Italy	Florence, Italy	276335
Rome, Italy	Vatican City	5561
Rome, Italy	Pompeii, Italy	242251
Rome, Italy	Gozo, Malta	1082797
Rome, Italy	Dubrovnik, Croatia	667158
Rome, Italy	Santorini, Thira, Greece	1601333
Rome, Italy	Vienna, Austria	1116426
Rome, Italy	Prague, Czech Republic	1303002
Rome, Italy	Krakow, Poland	1566035
Rome, Italy	Berlin, Germany	1501966
Rome, Italy	Amsterdam, Netherlands	1644756
Rome, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1675168
Rome, Italy	Glasgow, United Kingdom	2545041
Rome, Italy	Edinburgh, United Kingdom	2500810
Rome, Italy	Inverness, United Kingdom	2798741
Rome, Italy	Stonehenge, Amesbury, United Kingdom	1997166
Rome, Italy	London, United Kingdom	1873711
Rome, Italy	Brussels, Belgium	1483601
Rome, Italy	Paris, France	1421487
Rome, Italy	Pamplona, Spain	1648623
Rome, Italy	Lagos, Portugal	2617935
Rome, Italy	Granada, Spain	2234460
Rome, Italy	Barcelona, Spain	1360283
Rome, Italy	Luberone, Bonnieux, France	922733
Rome, Italy	Nice, France	694368
Rome, Italy	Monte Carlo, Monaco	680406
Rome, Italy	Interlaken, Switzerland	834268
Vatican City	Innsbruck, Austria	762988
Vatican City	Munich, Germany	921832
Vatican City	Pag, Croatia	891298
Vatican City	Venice, Italy	529517
Vatican City	Tuscany, Italy	282085
Vatican City	Florence, Italy	280339
Vatican City	Rome, Italy	6141
Vatican City	Pompeii, Italy	247488
Vatican City	Gozo, Malta	1088034
Vatican City	Dubrovnik, Croatia	672396
Vatican City	Santorini, Thira, Greece	1606570
Vatican City	Vienna, Austria	1120430
Vatican City	Prague, Czech Republic	1307005
Vatican City	Krakow, Poland	1570038
Vatican City	Berlin, Germany	1505969
Vatican City	Amsterdam, Netherlands	1648760
Vatican City	Keukenhof, Stationsweg, Lisse, Netherlands	1679172
Vatican City	Glasgow, United Kingdom	2549045
Vatican City	Edinburgh, United Kingdom	2504813
Vatican City	Inverness, United Kingdom	2802745
